Nation,LAD,MSOA,LSOA.DZ.CD,LSOA.DZ.NM,Under.35,Over.65,EPC,Median.Income,Tenure,Typology,Unemployment,Rurality,House.value,Fuel.Type,Fuel.consumption.total,Floor.area,Gas.flag,Number.cars,Urban.trips,Total.vkm,Urban.vkm
NI,N09000001,-,N20000001,Dunsilly_A1,0.75,0.25,4,23318,1,2,0.03,2,137688,3,37665,180,0,2,414,12923,2584
NI,N09000001,-,N20000002,Dunsilly_B1,0.65,0.35,4,23318,1,2,0.03,2,149950,3,35381,167,0,2,376,11730,2346
NI,N09000001,-,N20000003,Dunsilly_A2,0.66,0.34,4,23318,1,2,0.05,2,137688,3,32461,143,0,2,369,11504,2301
NI,N09000001,-,N20000004,Dunsilly_A3,0.73,0.27,5,23318,1,2,0.04,2,137688,3,30303,126,0,2,387,12075,2415
NI,N09000001,-,N20000005,Dunsilly_B2,0.70,0.30,4,23318,1,2,0.03,2,134250,3,35166,182,0,2,408,12719,2544
NI,N09000001,-,N20000006,Dunsilly_A4,0.71,0.29,5,23318,1,2,0.01,2,151500,3,38463,181,0,2,391,12189,2438
NI,N09000001,-,N20000007,Dunsilly_C1,0.75,0.25,2,23318,1,2,0.03,2,139950,3,26524,136,0,2,352,10975,2195
NI,N09000001,-,N20000008,Dunsilly_A5,0.69,0.31,4,23318,1,2,0.04,2,137688,3,28586,116,0,2,370,11535,2307
NI,N09000001,-,N20000009,Dunsilly_A6,0.72,0.28,2,23318,1,2,0.01,2,137688,3,29100,138,0,2,385,12011,2402
NI,N09000001,-,N20000010,Dunsilly_B3,0.73,0.27,4,23318,1,2,0.04,2,137688,3,37085,185,0,2,419,13071,2614
NI,N09000001,-,N20000011,Dunsilly_D1,0.76,0.24,4,23318,1,3,0.04,1,137688,3,21859,84,0,1,880,8287,880
NI,N09000001,-,N20000012,Dunsilly_D2,0.56,0.44,4,23318,1,2,0.03,1,137688,3,21859,84,0,2,1194,11236,1194
NI,N09000001,-,N20000013,Dunsilly_F1,0.53,0.47,3,23318,1,2,0.04,1,151500,3,24875,125,0,2,1156,10882,1156
NI,N09000001,-,N20000014,Dunsilly_D3,0.63,0.37,4,23318,1,2,0.01,2,137688,3,21285,86,0,2,346,10798,2159
NI,N09000001,-,N20000015,Dunsilly_C2,0.78,0.22,4,23318,1,1,0.04,2,139950,3,29681,134,0,1,247,7717,1543
NI,N09000001,-,N20000016,Dunsilly_E1,0.75,0.25,4,23318,1,3,0.02,1,119500,3,21328,86,0,1,1056,9943,1056
NI,N09000001,-,N20000017,Dunsilly_E2,0.79,0.21,4,23318,1,1,0.05,1,119500,3,21264,96,0,2,849,7989,849
NI,N09000001,-,N20000018,Dunsilly_E3,0.88,0.12,2,23318,1,2,0.02,1,119500,3,25694,116,0,2,1188,11188,1188
NI,N09000001,-,N20000019,Dunsilly_D4,0.58,0.42,4,23318,3,6,0.05,2,137688,3,20563,88,0,0,244,7622,1524
NI,N09000001,-,N20000020,Dunsilly_D5,0.71,0.29,4,23318,1,1,0.07,2,137688,3,18134,77,0,1,310,9672,1934
NI,N09000001,-,N20000021,Dunsilly_E4,0.85,0.15,5,23318,1,2,0.03,1,119500,3,24884,106,0,2,1134,10671,1134
NI,N09000001,-,N20000022,Dunsilly_C3,0.93,0.07,2,23318,1,1,0.01,2,139950,3,29746,139,0,2,393,12250,2450
NI,N09000001,-,N20000023,Dunsilly_D6,0.76,0.24,4,23318,1,1,0.03,2,137688,3,19800,80,0,2,379,11826,2365
NI,N09000001,-,N20000024,Dunsilly_C4,0.79,0.21,2,23318,1,2,0.04,2,139950,3,27984,132,0,2,363,11318,2263
