Lookup Value,Local Authority,SPC_Code,SPC_Name
S01006506,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006507,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006508,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006509,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006510,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006511,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006512,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006513,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006514,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006515,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006516,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006517,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006518,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006519,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006520,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006521,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006522,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006523,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006524,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006525,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006526,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006527,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006528,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006529,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006530,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006531,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006532,Aberdeen City,S16000074,Aberdeen Central
S01006533,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006534,Aberdeen City,S16000074,Aberdeen Central
S01006535,Aberdeen City,S16000074,Aberdeen Central
S01006536,Aberdeen City,S16000074,Aberdeen Central
S01006537,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006538,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006539,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006540,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006541,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006542,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006543,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006544,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006545,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006546,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006547,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006548,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006549,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006550,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006551,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006552,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006553,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006554,Aberdeen City,S16000075,Aberdeen Donside
S01006555,Aberdeen City,S16000075,Aberdeen Donside
S01006556,Aberdeen City,S16000075,Aberdeen Donside
S01006557,Aberdeen City,S16000075,Aberdeen Donside
S01006558,Aberdeen City,S16000074,Aberdeen Central
S01006559,Aberdeen City,S16000074,Aberdeen Central
S01006560,Aberdeen City,S16000074,Aberdeen Central
S01006561,Aberdeen City,S16000074,Aberdeen Central
S01006562,Aberdeen City,S16000074,Aberdeen Central
S01006563,Aberdeen City,S16000074,Aberdeen Central
S01006564,Aberdeen City,S16000074,Aberdeen Central
S01006565,Aberdeen City,S16000074,Aberdeen Central
S01006566,Aberdeen City,S16000074,Aberdeen Central
S01006567,Aberdeen City,S16000074,Aberdeen Central
S01006568,Aberdeen City,S16000074,Aberdeen Central
S01006569,Aberdeen City,S16000074,Aberdeen Central
S01006570,Aberdeen City,S16000074,Aberdeen Central
S01006571,Aberdeen City,S16000074,Aberdeen Central
S01006572,Aberdeen City,S16000074,Aberdeen Central
S01006573,Aberdeen City,S16000074,Aberdeen Central
S01006574,Aberdeen City,S16000074,Aberdeen Central
S01006575,Aberdeen City,S16000074,Aberdeen Central
S01006576,Aberdeen City,S16000074,Aberdeen Central
S01006577,Aberdeen City,S16000074,Aberdeen Central
S01006578,Aberdeen City,S16000074,Aberdeen Central
S01006579,Aberdeen City,S16000074,Aberdeen Central
S01006580,Aberdeen City,S16000074,Aberdeen Central
S01006581,Aberdeen City,S16000074,Aberdeen Central
S01006582,Aberdeen City,S16000074,Aberdeen Central
S01006583,Aberdeen City,S16000074,Aberdeen Central
S01006584,Aberdeen City,S16000074,Aberdeen Central
S01006585,Aberdeen City,S16000074,Aberdeen Central
S01006586,Aberdeen City,S16000074,Aberdeen Central
S01006587,Aberdeen City,S16000074,Aberdeen Central
S01006588,Aberdeen City,S16000074,Aberdeen Central
S01006589,Aberdeen City,S16000074,Aberdeen Central
S01006590,Aberdeen City,S16000074,Aberdeen Central
S01006591,Aberdeen City,S16000074,Aberdeen Central
S01006592,Aberdeen City,S16000074,Aberdeen Central
S01006593,Aberdeen City,S16000074,Aberdeen Central
S01006594,Aberdeen City,S16000074,Aberdeen Central
S01006595,Aberdeen City,S16000074,Aberdeen Central
S01006596,Aberdeen City,S16000074,Aberdeen Central
S01006597,Aberdeen City,S16000074,Aberdeen Central
S01006598,Aberdeen City,S16000074,Aberdeen Central
S01006599,Aberdeen City,S16000074,Aberdeen Central
S01006600,Aberdeen City,S16000074,Aberdeen Central
S01006601,Aberdeen City,S16000074,Aberdeen Central
S01006602,Aberdeen City,S16000074,Aberdeen Central
S01006603,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006604,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006605,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006606,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006607,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006608,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006609,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006610,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006611,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006612,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006613,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006614,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006615,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006616,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006617,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006618,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006619,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006620,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006621,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006622,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006623,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006624,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006625,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006626,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006627,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006628,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006629,Aberdeen City,S16000076,Aberdeen South and North Kincardine
S01006630,Aberdeen City,S16000076,Aberdeen South and North Kincardine
